AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Day,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Month,Referee,VCA,VCD,VCH,Year,season
5.0,7.0,0.0,2.0,1.0,2.0,Reading,4.0,3.25,1.9,4.0,3.2,1.85,2006-10-01,01,E0,1.0,0.0,A,10.0,8.0,0.0,13.0,8.0,1.0,0.0,A,4.0,West Ham,3.3,3.2,2.0,10,U Rennie,3.75,3.4,1.9,06,0607
4.0,17.0,0.0,11.0,6.0,4.0,Wigan,4.0,3.25,1.9,4.25,3.2,1.8,2006-10-01,01,E0,1.0,2.0,H,5.0,16.0,0.0,12.0,8.0,1.0,1.0,D,3.0,Blackburn,4.0,3.2,1.8,10,H Webb,4.0,3.4,1.85,06,0607
3.0,13.0,0.0,3.0,3.0,3.0,Newcastle,13.0,4.33,1.3,8.4,4.75,1.3,2006-10-01,01,E0,0.0,2.0,H,8.0,5.0,0.0,24.0,11.0,0.0,1.0,H,1.0,Man United,8.0,4.2,1.33,10,M Dean,8.5,4.5,1.33,06,0607
10.0,10.0,0.0,9.0,6.0,0.0,Portsmouth,4.5,3.25,1.8,3.75,3.2,1.92,2006-10-01,01,E0,1.0,2.0,H,6.0,8.0,0.0,8.0,6.0,1.0,2.0,H,0.0,Tottenham,3.8,3.2,1.85,10,C Foy,4.35,3.4,1.8,06,0607
2.0,12.0,0.0,9.0,3.0,3.0,Fulham,2.87,3.2,2.4,2.85,3.15,2.3,2006-10-02,02,E0,3.0,3.0,D,3.0,24.0,0.0,9.0,4.0,0.0,1.0,H,1.0,Watford,2.7,3.0,2.5,10,M Riley,2.7,3.2,2.5,06,0607
5.0,8.0,0.0,12.0,5.0,2.0,Man United,1.53,3.8,6.0,1.5,3.7,6.1,2006-10-14,14,E0,3.0,1.0,A,2.0,7.0,0.0,6.0,2.0,0.0,1.0,H,0.0,Wigan,1.55,3.7,5.0,10,S Bennett,1.5,3.75,6.5,06,0607
5.0,7.0,1.0,7.0,4.0,2.0,Chelsea,1.4,4.33,7.5,1.4,4.0,7.3,2006-10-14,14,E0,1.0,0.0,A,8.0,16.0,1.0,5.0,0.0,1.0,0.0,A,3.0,Reading,1.45,3.7,6.5,10,M Riley,1.45,3.8,7.5,06,0607
4.0,11.0,0.0,6.0,3.0,4.0,West Ham,3.75,3.2,2.0,3.8,3.2,1.9,2006-10-14,14,E0,0.0,2.0,H,4.0,20.0,0.0,18.0,6.0,0.0,1.0,H,4.0,Portsmouth,3.8,3.2,1.85,10,G Poll,4.0,3.25,1.9,06,0607
13.0,9.0,0.0,12.0,8.0,0.0,Everton,2.7,3.1,2.6,2.85,3.15,2.3,2006-10-14,14,E0,1.0,2.0,H,10.0,12.0,0.0,9.0,6.0,0.0,1.0,H,1.0,Middlesbrough,2.8,3.1,2.3,10,M Halsey,2.7,3.2,2.5,06,0607
2.0,11.0,1.0,10.0,5.0,1.0,Tottenham,3.2,3.1,2.25,2.95,3.15,2.25,2006-10-14,14,E0,1.0,1.0,D,2.0,13.0,0.0,12.0,6.0,0.0,0.0,D,0.0,Aston Villa,2.8,3.1,2.3,10,M Atkinson,3.4,3.2,2.1,06,0607
